screen_time_hours,nighttime_use,app_switches,social_media_ratio,unlocks,profile,fatigue_level
4,1,20,0.3,50,student,medium
6,1,35,0.5,90,student,high
2,0,10,0.2,30,student,low
8,1,45,0.6,120,professional,high
5,1,30,0.4,80,professional,medium
3,0,15,0.2,40,professional,low
2,0,5,0.1,20,casual,low
4,1,15,0.4,60,casual,medium
6,1,25,0.5,100,casual,high
1,0,3,0.1,10,elderly,low
2,0,8,0.2,25,elderly,medium
3,1,10,0.3,35,elderly,medium
3,0,12,0.3,40,homemaker,medium
4,1,20,0.5,70,homemaker,high
2,0,8,0.2,30,homemaker,low
7.5,1,90,0.6,120,student,high
6.0,0,60,0.4,80,student,moderate
4.0,0,30,0.3,50,student,low
8.0,1,100,0.7,140,professional,high
5.0,0,40,0.2,60,professional,low
6.5,1,70,0.5,100,professional,moderate
3.0,0,20,0.2,30,casual,low
4.5,0,25,0.3,45,casual,low
6.0,1,60,0.6,90,casual,moderate
9.0,1,110,0.8,150,student,high
2.5,0,15,0.1,20,casual,low
5.5,1,55,0.5,85,student,moderate
7.0,1,85,0.6,110,professional,high
3.5,0,22,0.25,40,casual,low
6.0,1,65,0.4,95,professional,moderate
8.5,1,120,0.75,160,student,high
4.0,0,35,0.3,55,casual,low
7.5,1,95,0.65,130,professional,high
6.0,0,50,0.4,70,student,moderate
5.5,0,45,0.35,65,casual,low
